starting_name,family_TNRS,current_name,infra_taxa,name_source,in_Yosemite_list,outcome,broader,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,notes
Calocedrus decurrens,Cupressaceae,Calocedrus decurrens,,CCH_synonym,TRUE,,2.gymnosperm,28,13,1895,"Canby, William M.",1972,
Libocedrus decurrens,Cupressaceae,Calocedrus decurrens,,CCH_synonym,TRUE,,2.gymnosperm,5,5,1936,"Williams, H.",1968,
Cupressus macrocarpa,Cupressaceae,Hesperocyparis macrocarpa,,via_gbif,,out of range,2.gymnosperm,,,,,,add
Juniperus communis,Cupressaceae,Juniperus communis,,CCH_synonym,TRUE,,2.gymnosperm,5,4,1933,"McMinn, H. E.",2005,
Juniperus communis subsp. saxatilis,Cupressaceae,Juniperus communis,,TNRS_synonym,TRUE,,2.gymnosperm,1,1,1935,"Sawyer, Elliot",1935,
Juniperus communis var. depressa,Cupressaceae,Juniperus communis,,CCH_synonym,TRUE,,2.gymnosperm,1,1,1948,"Roos, John C.",1948,
Juniperus communis var. montana,Cupressaceae,Juniperus communis,,CCH_synonym,TRUE,,2.gymnosperm,4,2,1935,"Augustine, W. B.",2005,
Juniperus communis var. saxatilis,Cupressaceae,Juniperus communis,,CCH_synonym,TRUE,,2.gymnosperm,4,4,1935,"Sawyer, Elliot",1974,
Juniperus grandis,Cupressaceae,Juniperus grandis,,CCH_synonym,TRUE,,2.gymnosperm,6,5,1896,"Coombs, Mrs. A. L.",1969,
Juniperus occidentalis,Cupressaceae,Juniperus grandis,,CCH_synonym,TRUE,,2.gymnosperm,30,12,1889,"Chesnut, Drew",1966,
Juniperus occidentalis var. australis,Cupressaceae,Juniperus grandis,,CCH_synonym,TRUE,,2.gymnosperm,1,1,1940,"Ramsey, Henry J.",1940,
Juniperus occidentalis var. occidentalis,Cupressaceae,Juniperus grandis,,CCH_synonym,TRUE,,2.gymnosperm,1,1,1934,"Johnstone, George R.",1934,
Sequoia gigantea,Cupressaceae,Sequoiadendron giganteum,,TNRS_synonym,TRUE,,2.gymnosperm,3,,1891,"Coville, Frederick V.",1895,
Sequoiadendron giganteum,Cupressaceae,Sequoiadendron giganteum,,CCH_synonym,TRUE,,2.gymnosperm,32,18,1880,"Cleveland, Daniel",1982,
Sequoidendron giganteum,Cupressaceae,Sequoiadendron giganteum,,TNRS_synonym,TRUE,,2.gymnosperm,1,,1967,"Wilcox, Mary",1967,
Ephedra viridis,Ephedraceae,Ephedra viridis,,via_gbif,,out of range,2.gymnosperm,,,,,,add
Abies concolor,Pinaceae,Abies concolor,,CCH_synonym,TRUE,,2.gymnosperm,25,15,1882,"Congdon, Joseph Whipple",1981,
Abies concolor var. lowiana,Pinaceae,Abies concolor,,CCH_synonym,TRUE,,2.gymnosperm,1,1,1976,"Clarke, Oscar F.",1976,
Abies × shastensis,Pinaceae,Abies magnifica,,Symbiotica,,,2.gymnosperm,,,,,,
Abies magnifica,Pinaceae,Abies magnifica,,CCH_synonym,TRUE,,2.gymnosperm,19,8,1888,"Congdon, Joseph Whipple",1973,
Abies magnifica var. magnifica,Pinaceae,Abies magnifica,,CCH_synonym,TRUE,,2.gymnosperm,4,4,1909,"Jepson, Willis L.",1935,
Abies magnifica var. shastensis,Pinaceae,Abies magnifica,,CCH_synonym,TRUE,,2.gymnosperm,1,1,1909,unknown,1909,
Pinus albicaulis,Pinaceae,Pinus albicaulis,,CCH_synonym,TRUE,,2.gymnosperm,21,17,1898,"Congdon, Joseph Whipple",1972,
Pinus aristata,Pinaceae,Pinus aristata,,from_gbif,,,2.gymnosperm,,,,,,
Pinus attenuata,Pinaceae,Pinus attenuata,,CCH_synonym,TRUE,,2.gymnosperm,2,2,2009,"Taylor, Dean William",2009,
Pinus contorta,Pinaceae,Pinus contorta,,CCH_synonym,TRUE,,2.gymnosperm,3,1,1939,"Ericson, Mildred J.",1969,
Pinus contorta latifolia,Pinaceae,Pinus contorta,,TNRS_synonym,TRUE,,2.gymnosperm,1,,1896,"Coombs, Mrs. A. L.",1896,
Pinus contorta murrayana,Pinaceae,Pinus contorta,,TNRS_synonym,TRUE,,2.gymnosperm,2,1,1939,"Wiggins, Ira L.",1967,
