accepted_name,scientific_name,status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,parks_outcome,voucher_outcome,voucher_obs,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,voucher_notes,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,summary,vouchers_with_coordinates,rand_check,reason_for_voucher_only,notes_about_vouchers,notes_for_parks_only,reason_for_iNat_only_v3,reason_for_iNat_only_v2,iNat_notes,range_from_iNat_or_Jepson,voucher_links,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,reason_for_parks_list,reason_for_iNat_only,first_record,last_record,voucher_count
Aspidotis californica,Hemionitis californica,synonym,Pteridaceae,1.ferns/primitive,Aspidotis californica,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,,,,,,,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Aspidotis densa,Aspidotis densa,current,Pteridaceae,1.ferns/primitive,Hemionitis densa,native,52,3,,1,1,1,1,1,1,1,1,,retain observation,"retain, synonym",retain voucher,70,37,1863,"Brewer, William Henry",2014,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Aspidotis densa,Hemionitis densa,synonym,Pteridaceae,1.ferns/primitive,Aspidotis densa,native,,,1,,,synonym,synonym,synonym,1,1,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,barbaraparris,12/19/1981,dexterbanjo,12/28/2023,1981,2023,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Cryptogramma acrostichoides,Cryptogramma acrostichoides,current,Pteridaceae,1.ferns/primitive,,native,43,14,1,1,1,1,1,1,1,1,1,,retain observation,retain on list,retain voucher,51,32,1878,"Bradley, C. B.",2007,sacha,8/21/2003,dennisronsse,11/3/2023,2003,2023,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list-didn't check,,,,,,,,,,,,,,,,,,
Cryptogramma cascadensis,Cryptogramma cascadensis,current,Pteridaceae,1.ferns/primitive,,native,,,1,,,1,1,,1,1,1,,"not in iNat, but occurs in park",retain on list,"add, voucher found during check",4,1,1866,"Bolander, Henry Nicholas",2007,,,,,,,,,,,,agree_with_park_list&YES_vouchers_exist,yes,pl_1,,,"iNat: multiple vouchers just outside the park, including one of mine on Gale Peak within a few 100 m of park; Taylor: voucher on DAFF dome; many more vouchers just east of park; only voucher in CCH2 with coordinates maybe just added from Jepson?",,,,,,,,,vouchers not in database-old&recent vouchers,,1866,2007,3
Myriopteris clevelandii,Myriopteris clevelandii,current,Pteridaceae,1.ferns/primitive,,N/A,,,,,,,,,1,,,,"XX-not in iNat, not in park","XX-not on parks list, not in park","XX-wrong ID voucher found in CCH download, not in park",1,1,1915,"Gibbons, Mary S.",1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriopteris cooperae,Myriopteris cooperae,current,Pteridaceae,1.ferns/primitive,,native,,,,,,,1,,1,,1,,"not in iNat, but occurs in park","not on parks list, but occurs in park","add, voucher found in CCH download",2,,1897,"Hutchings, Miss C.",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myriopteris covillei,Myriopteris covillei,current,Pteridaceae,1.ferns/primitive,Hemionitis covillei,native,9,9,,1,1,1,1,1,1,,1,,retain observation,"retain, synonym",retain voucher,14,7,1890,"Congdon, Joseph Whipple",1965,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,in Symbiota,,,agree_with_has_voucher&YES_on_park_list_under_synonym-didn't check,,,,,,,,,,,,,,,,,,
Myriopteris covillei,Hemionitis covillei,synonym,Pteridaceae,1.ferns/primitive,Myriopteris covillei,native,,,1,,,synonym,synonym,synonym,,,,,XX-synonym other list,XX-synonym retained,XX-synonym other list,,,,,,greenrosettas,4/12/2014,barbara1143,12/5/2022,2014,2022,,,,,,synonym_from_GBIF_being_kept [[no duplication]],,pl_1,,,,,,,,,,,,synonym,,,,
Myriopteris gracilis,Myriopteris gracilis,current,Pteridaceae,1.ferns/primitive,,native,,,,,1,,,x,,,,,"remove, 01. wrong ID","XX-not on parks list, not in park","XX-no voucher, not in park",,,,,,,,,,,,,,,,,disagree_with_iNat,,,,,,data error (identification),iNat misID,"ONLY iNat observation outside of the desert, but IDed by fern expert - I've messaged him to askâ€¦; identifier agrees he was wrong - ""I've re-evaluated my earlier identification after a nudge by @lizzywenk. (Thank you Lizzy.) The leaves appear a little more hairy than is typical for M. intertexta, but that could be the lighting and angle of the photo. The granite substrate is diagnostic. M. gracilis only occurs on calcareous rocks. M. intertexta is common on the granite rocks at Yosemite."" https://www.inaturalist.org/observations/124506001",,,,,,,iNat misID,N/A,N/A,0
