accepted_name,scientific_name,taxonomic_status,family,broader,synonym_matches,establishment_means,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,possibly_valid_needs_ID,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first,first_observer,year_last,first_iNat_observer,first_iNat_date,last_iNat_observer,last_iNat_date,iNat_year_first,iNat_year_last,vouches_from_gbif_only,iNat_needs_ID_only_verdict,symbiota,iNat_missing_in_gbif,use_as_example,location_notes,notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needs_ID_only,iNat_needsID_only_notes,taxonomic_concerns,first_record-manual,last_record-manual
Alisma triviale,Alisma plantago-aquatica,misapplied,Alismataceae,5.monocot-colorful,misapplied to Alisma triviale,native,,1,1,,,misapplied,misapplied,misapplied,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,,,,,CCH -old vouchers from many locations,,,,,,,,1889,1958
Damasonium californicum,Damasonium californicum,current,Alismataceae,5.monocot-colorful,,N/A,,,,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'untraced taxonomic error'; not in protected area",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagittaria cuneata,Sagittaria cuneata,current,Alismataceae,5.monocot-colorful,,native,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,6,4,4,1938,"Smith, Winifred M.",2006,,,,,,,,,in Symbiota,,,,"CCH2 vouchers old and new - Sharsmith in Siesta Lake, Sky Island in lake out of Pate Valley, Laurel Lake",,"many observations south to Tahoe, but then none",,,,,,,
Sagittaria cuneata,Sagittaria latifolia,misapplied,Alismataceae,5.monocot-colorful,misapplied to Sagittaria cuneata,native,,,1,,,misapplied,misapplied,misapplied,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",taxonomic or nomenclatural error,"remove, misapplied name",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,in Symbiota,,,,iNat: Owens Valley; very low elevation Sierra Nevada; Taylor: very low elevations; name misapplied to S. cuneata,,wrong range-west or south of park at lower elevations,,,,,,,
Allium amplectens,Allium amplectens,current,Amaryllidaceae,5.monocot-colorful,,native,2,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,8,5,4,1889,"Chesnut, Victor K.; ; Drew, Elmer R.",2006,willfreyman,5/30/2021,willfreyman,5/30/2021,2021,2021,,,in Symbiota,,,,,,,,,,,,,
Allium bisceptrum,Allium bisceptrum,current,Amaryllidaceae,5.monocot-colorful,,native,,,1,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",identification error,"remove, incorrect identification",1,1,1,1929,"Dearing, Hugh & Margaret",1929,,,,,,,,,,,,,"1 voucher from Inspiration Point, Yosemite Valley 1929; but collector just marked ""Allium"" and flagged by herbarium as ""Extralimital""; ""unconfirmed"" on park list",,eastside mostly,https://www.gbif.org/occurrence/3053390254,,,,taxonomic_mismatch-mis-identification,1929,1929
Allium campanulatum,Allium campanulatum,current,Amaryllidaceae,5.monocot-colorful,,native,14,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,35,29,21,1866,"Bolander, Henry Nicholas",2007,lizzywenk,6/14/2014,goflowers,7/29/2023,2014,2023,,,in Symbiota,,,,,,,,,,,,,
Allium hyalinum,Allium hyalinum,current,Amaryllidaceae,5.monocot-colorful,,native,,,1,1,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain because vouchers for species are close to the park,retain because vouchers for species are close to the park,geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,in Symbiota,,,,"CCH: no vouchers; Taylor: occurs below 2000 feet; gbif: 2 records of IDENTICAL gbif vouchers - refer to Tule River, but location in Yosemite",,"wrong range-Tule River, low elevations; Sierra foothills with many occurrences along hwy 140 up to around El Portal and west of Cherry Lake, but not extending into park",https://www.gbif.org/occurrence/1302697507,,,,,,
Allium obtusum,Allium obtusum,current,Amaryllidaceae,5.monocot-colorful,,native,14,6,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,40,35,22,1890,"Congdon, Joseph Whipple",2007,sea-kangaroo,5/15/2009,paulexcoff,6/21/2022,2009,2022,,,in Symbiota,,,,,,,,,,,,,
Allium parvum,Allium parvum,current,Amaryllidaceae,5.monocot-colorful,,N/A,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,1936,"Haines, A. Lee",1936,,,,,,,,,,,,,,,,,,,,,,
Allium peninsulare,Allium peninsulare,current,Amaryllidaceae,5.monocot-colorful,,native,,,,1,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",geographic error,"remove, coordinates erroneously inside protected area",,,,,,,,,,,,,,,,,,,"2 records of IDENTICAL gbif vouchers - locality clearly far west of Yosemite, doesn't match coordinates; Taylor: foothill serpentine",,low elevation Sierra foothills; penninsular ranges,https://www.gbif.org/occurrence/4069820199; https://www.gbif.org/occurrence/1302698484,,,,,,
Allium tribracteatum,Allium tribracteatum,current,Amaryllidaceae,5.monocot-colorful,,native,2,,1,1,obscured,1,1,1,1,1,1,,databasing discrepancy,"add, observations lost due to auto-obscured coordinates",retain exact name,retain exact name,retain exact name,retain exact name,3,1,3,1938,"Mason, Herbert L.",2010,monobasin,6/4/2022,stuartdavis,6/17/2022,2022,2022,,,in Symbiota,geoprivate_by_iNat,,,,,,,,,,,,
Allium validum,Allium validum,current,Amaryllidaceae,5.monocot-colorful,,native,102,9,1,1,1,1,1,1,1,,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,30,30,14,1866,"Bolander, Henry Nicholas",1983,vtraveler,8/17/2011,mothernaturesson,10/7/2023,2011,2023,,,in Symbiota,,,,,,,,,,,,,
Allium yosemitense,Allium yosemitense,current,Amaryllidaceae,5.monocot-colorful,,native,,,1,,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",9,7,6,1922,"Michael, Enid",2003,,,,,,,,,in Symbiota,,,"top Bridalveil, South Fork Merced near Alder","CCH, Taylor: many vouchers from around and above Yosemite Valley; coordinates hidden in iNat",,,,"add, found during search of CCH2 for species in iNat, parks list",,,,1922,2003
Arum italicum,Arum italicum,current,Araceae,5.monocot-colorful,,introduced,,,,,,,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,,1,2009,"Taylor, Dean William",2009,,,,,,,,,,,,,,,,,"add, found during search of CCH2 by locality name",,,,,
Lemna gibba,Lemna gibba,current,Araceae,5.monocot-colorful,,native,,,1,,,,,,,,,,XX-not in graphics,"XX-not in iNat, not in protected area",geographic error,"remove, species range far from park",XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,in Symbiota,,,,"only voucher in CCH 1902, Congdon - way outside park; Taylor: no vouchers",,wrong range-west & east of park at much lower elevations,,,,,,N/A,N/A
Lemna minor,Lemna minor,current,Araceae,5.monocot-colorful,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,no regional vouchers,,,,,"almost 100% certainly a misID, was a CV suggestion from two years ago (species no longer suggested by CV for this observation). Photo is completely nonIDable to anything regardless",,,,
Lemna minuta,Lemna minuta,current,Araceae,5.monocot-colorful,,native,,,1,,,1,,,,,1,,XX-not in graphics,"XX-not in iNat, not in protected area",retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, not in protected area",,,,,,,,,,,,,,,in Symbiota,,,,"only vouchers in CCH for Congdon in 1880's and place names listed not in the park; Taylor: no vouchers; but Botti says in Lost Lake, LYV and scattered Sierra vouchers",,wrong range-west & east of park at much lower elevations,,,,,,N/A,N/A
Aralia californica,Aralia californica,current,Araliaceae,5.monocot-colorful,,native,,,1,,,1,1,,,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,geographic error,"add, coordinates erroneously outside protected area or missing coordinates",1,,,2006,"Grossenbacher, Dena",2006,,,,,,,,,in Symbiota,,,western boundary,Taylor: recent voucher from Poopenaut Valley,,,,"add, found during search of CCH2 for species in iNat, parks list",,,,2006,2006
Agave attenuata,Agave attenuata,current,Asparagaceae,5.monocot-colorful,,,,1,,,,needsID-IGNORE,needsID-IGNORE,needsID-IGNORE,,,,,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,XX-not in graphics,XX-iNat needs ID only,,,,,,,,,,,,,,remove,,,,,,,,https://www.inaturalist.org/observations/128300681,,"almost 100% certainly a misID, was a CV suggestion from two years ago (species no longer suggested by CV for this observation)",Frasera speciosa,,,
