accepted_name,family,broader,establishment_means,taxonID,park_list,voucher_exists,iNat_RG_record_exists
Anthemis cotula,Asteraceae,3.dicot,introduced,https://www.inaturalist.org/taxa/52841,1,1,
Arnica chamissonis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75568,1,1,
Arnica cordifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75569,1,1,
Arnica dealbata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75570,1,1,
Arnica discoidea,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52851,1,1,1
Arnica lanceolata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75572,1,1,
Arnica latifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75573,1,1,1
Arnica longifolia,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75574,1,1,
Arnica mollis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75575,1,1,1
Arnica nevadensis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75576,1,1,
Arnica ovata,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75577,1,1,
Arnica parryi,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75578,1,1,
Artemisia albicans,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/901078,1,1,
Artemisia arbuscula,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75585,1,,
Artemisia cana,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75588,1,,
Artemisia douglasiana,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/52854,1,1,1
Artemisia dracunculus,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/57912,1,1,1
Artemisia ludoviciana,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/71127,1,1,1
Artemisia norvegica,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75591,1,1,1
Artemisia rothrockii,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75594,1,1,1
Artemisia spiciformis,Asteraceae,3.dicot,native,https://www.inaturalist.org/taxa/75595,1,1,
