accepted_name,scientific_name,taxonomic_status,family,broader,synonymy_notes,establishment_means,taxonID,count_RG,count_needs_id,in_park_START,voucher_START,iNat_RG_START,in_park_END,voucher_END,iNat_RG_END,old_voucher,recent_voucher,final_list,iNat_needsID_only,iNat_outcome,iNat_outcome_detailed,parks_outcome,parks_outcome_detailed,voucher_outcome,voucher_outcome_detailed,voucher_obs,voucher_obs_to_1990,voucher_obs_coord,year_first_voucher,year_last_voucher,date_first_iNat_obs,date_last_iNat_obs,first_voucher_collector,first_iNat_observer,last_iNat_observer,year_first_iNat,year_last_iNat,vouchers_from_gbif_only,iNat_needs_ID_only_verdict,Symbiota,iNat_missing_in_gbif,use_as_example,voucher_parklist_notes,iNat_notes,range_notes,voucher_links,species added during manual voucher searches,iNat_needsID_only_notes,iNat_needsID_only_notes2,taxonomic_concerns,synonyms_from_CCH
Leptosiphon harknessii,Leptosiphon harknessii,accepted,Polemoniaceae,3.dicot,"Linanthus harknessii in both Jepson, parklist",native,https://www.inaturalist.org/taxa/1491326,,,1,1,,1,1,,1,1,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,retain exact name,retain exact name,18,17,11,1863,2005,,,"Brewer, William Henry",,,,,,,in Symbiota,,,,,,,,,,,Leptosiphon harknessii
Leptosiphon liniflorus,Leptosiphon liniflorus,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/64244,,,,,,,,1,,,1,,databasing discrepancy,"add, iNaturalist's protected area polygon out-of-date and excluded valid observation",XX-not in graphics,"XX-not on parks list, but occurs in protected area",XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,,,,,,2019,2019,,,,,,,"ONLY iNat observation outside of Coast Ranges, BUT IDed by Polemoniaceae expert and in Yosemite flora as ""expected below 5500, but no regional vouchers""; considering new record, but a bit uneasy",,,,,,,
Leptosiphon montanus,Leptosiphon montanus,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77694,,1,1,,,1,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",retain exact name,retain exact name,taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",3,3,3,1887,1943,,,unknown,,,,,,,in Symbiota,,,"CCH, Taylor: mostly at lower elevations, but a few older vouchers in the park",,"Lake Eleanor, Arch Rock, Ackerson Creek",,"add, found during search of CCH2 for species in iNat, parks list",,,,Linanthus montanus
Leptosiphon nuttallii,Leptosiphon nuttallii,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/77696,1,1,1,,1,1,,1,,,1,,retain exact name,retain exact name (new native record),retain exact name,retain exact name,XX-not in graphics,"XX-no voucher, but occurs in protected area",,,,,,7/18/2020,7/18/2020,,jsleamaker,jsleamaker,2020,2020,,,in Symbiota,,,,"""reported, but not vouchered west of the crest"" - Dean Taylor's flora; RG observation from west of Virginia Pass, believable",,,,,,,Leptosiphon nuttallii subsp. pubescens; Linanthus nuttallii ssp. pubescens
Leptosiphon oblanceolatus,Leptosiphon oblanceolatus,accepted,Polemoniaceae,3.dicot,,N/A,https://www.inaturalist.org/taxa/77697,,,,,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",XX-not in graphics,"XX-voucher with 'coordinates erroneously outside protected area or missing coordinates' found, but rejected due to 'incorrect identification'; not in protected area",1,1,,,,,,"Carter, Ella",,,,,,,,,,,,,,,,,,
Linanthus dichotomus,Linanthus dichotomus,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/57648,5,1,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,9,8,6,1885,2006,5/22/2016,6/7/2023,"Congdon, Joseph Whipple",matthewmosher,julien9uwr,2016,2023,,,in Symbiota,,,,,,,,,,,Linanthus dichotomus subsp. dichotomus
Linanthus pungens,Linanthus pungens,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/52148,56,60,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,42,39,28,1872,2007,6/26/2007,7/31/2023,"Gray, Asa",finzelflowers,warren_cardimona,2007,2023,,,in Symbiota,,,,,"montane, throughout",,,,,,Gilia pungens; Leptodactylon pungens; Linanthus pungens hookeri; Linanthus pungens subsp. pulchriflorus
Loeseliastrum schottii,Loeseliastrum schottii,accepted,Polemoniaceae,3.dicot,,out-of-range,https://www.inaturalist.org/taxa/58250,,,,1,,,,,1,,,,XX-not in graphics,"XX-not in iNat, not in protected area",XX-not in graphics,"XX-not on parks list, not in protected area",taxonomic or nomenclatural error,"remove, untraced taxonomic error",1,1,1,,,,,"Perkins, Albert J.",,,,,,,,,,"desert species, with 1 1895 voucher from Yosemite Valley in RSA; not in Taylor",,"desert flatlands - in Owens Valley, far southern San Joaquin Valley, never in Sierra foothills",,,,,taxonomic_mismatch-1800's_voucher,
Microsteris gracilis,Microsteris gracilis,accepted,Polemoniaceae,3.dicot,,native,https://www.inaturalist.org/taxa/61210,7,,1,1,1,1,1,1,1,1,1,,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,retain exact name,15,14,9,1924,2006,6/18/2014,6/20/2022,"Michael, Enid",lizzywenk,calochortus_goff,2014,2022,,,in Symbiota,,,,,,,,,,,Microsteris gracilis subsp. humilis; Phlox gracilis
Navarretia crystallina,Navarretia crystallina,accepted,Polemoniaceae,3.dicot,recent taxon concept,native,https://www.inaturalist.org/taxa/843634,,,,,,,1,,1,,1,,XX-not in graphics,"XX-not in iNat, but occurs in protected area",XX-not in graphics,"XX-not on parks list, but occurs in protected area",taxonomic or nomenclatural error,"add, vouchers missed due to undetected synonyms",1,1,1,1941,1941,,,"Mason, Herbert L.",,,,,,,,,,2016 taxon concept,,,,"add, found during search of CCH2 by locality name",,,,
